Away Team,2004,2008,2011,2014,2016,2018,2019,Grand Total
NYY,"11,776 ","5,546 ","5,837 ","6,435 ","2,258 ","4,883 ","5,273 ","6,001 "
BOS,"4,488 ","7,338 ","3,294 ","2,978 ","2,716 ","3,555 ","2,842 ","3,887 "
CHC,"5,276 ","3,560 ","1,669 ",147 ,"4,753 ","3,372 ","3,495 ","3,177 "
LAD,49 ,"1,280 ",81 ,"2,427 ","1,764 ","2,300 ","3,103 ","1,574 "
SFG,"4,019 ",(720),"1,855 ","1,331 ","1,528 ","2,369 ",148 ,"1,500 "
NYM,80 ,"2,716 ",702 ,"1,073 ",548 ,499 ,91 ,815 
PHI,(806),687 ,"3,654 ",(4),550 ,(854),893 ,588 
STL,291 ,389 ,532 ,641 ,76 ,460 ,843 ,462 
DET,"(1,154)",(249),78 ,"1,903 ",839 ,(287),"(1,422)",(39)
LAA,(593),(851),(598),(468),(126),667 ,133 ,(262)
ATL,724 ,(871),(180),234 ,"(1,706)",(530),(28),(334)
CLE,(691),(902),327 ,(507),"(1,299)",(136),217 ,(426)
SDP,"(1,395)",341 ,(634),(713),36 ,"(1,546)",(46),(565)
MIN,(544),(897),229 ,"(1,569)",(971),402 ,(774),(590)
CIN,(88),"(1,149)",686 ,(890),(999),"(1,018)",(985),(635)
CHW,(921),(357),(762),"(1,281)",(244),55 ,"(1,230)",(677)
WSN,N/A,"(1,833)","(2,095)",(200),448 ,(646),126 ,(700)
HOU,"(1,005)",(842),"(2,299)","(2,215)","(1,163)","1,018 ",(490),(999)
MIL,"(2,993)",(851),"(1,777)",415 ,"(1,037)","(1,134)",(5),"(1,051)"
SEA,"(1,289)","(1,157)","(1,397)",(599),(734),"(1,196)","(1,178)","(1,076)"
OAK,240 ,"(2,178)",(691),(736),"(2,058)","(1,692)",(551),"(1,093)"
PIT,"(2,968)",(568),(925),(909),"(1,697)",(143),(674),"(1,126)"
BAL,"(1,416)","(1,836)","(1,006)",(32),158 ,"(1,379)","(2,492)","(1,143)"
TEX,(955),"(1,811)",(758),(959),"(1,454)","(2,243)",(244),"(1,203)"
KCR,"(3,114)","(1,970)",(726),(993),470 ,"(2,222)",131 ,"(1,207)"
COL,"(1,318)","(1,308)","(1,444)",(726),"(1,420)",(940),"(1,333)","(1,212)"
TOR,"(3,947)","(2,233)","(1,904)",(330),"1,413 ","(1,916)","(1,844)","(1,533)"
ARI,"(2,489)",(263),"(1,621)","(1,856)",(861),"(1,197)","(2,569)","(1,551)"
MIA,(648),"(1,689)","(2,036)","(2,317)","(1,427)","(2,408)","(2,960)","(1,924)"
TBR,"(4,155)","(1,412)","(1,591)","(2,833)","(1,349)","(2,451)","(1,925)","(2,245)"
MON,"(3,237)",N/A,N/A,N/A,N/A,N/A,N/A,"(3,237)"
